patient_id,first_name,last_name,date_of_birth,nhs_number,gender,phone_number,email,address,postcode,emergency_contact,emergency_contact_number,registration_date,gp_surgery_id
P001,John,Smith,04/02/1960,1.23E+09,M,07123456,john.smith,123 Oak St,B1 1AA,Sarah Smith,07987654,1/1/2015,S001
P002,Emma,Johnson,12/15/1978,2.35E+09,F,07234567,emma.john,456 Pine Ave,B2 2BB,Michael Jo,07876543,1/1/2015,S001
P003,Robert,Williams,06/22/1955,3.46E+09,M,07345678,robert.willi,789 Maple,B91 3CC,Lisa Willia,07765432,1/1/2015,S002
P004,Sarah,Brown,08/10/1982,4.57E+09,F,07456789,sarah.brow,321 Elm Cl,B3 4DD,David Brow,07654321,8/5/2020,S001
P005,Michael,Davis,03/18/1975,5.68E+09,M,07567890,michael.d,654 Birch D,B75 5EE,Jennifer D,07543210,1/1/2015,S003
P006,Linda,Miller,11/07/1968,6.79E+09,F,07678901,linda.mille,987 Cedar,B4 6FF,Mark Mille,07432109,1/1/2015,S002
P007,James,Wilson,05/30/1970,7.89E+09,M,07789012,james.wils,147 Willow,B5 7GG,Helen Wils,07321098,1/1/2015,S001
P008,Patricia,Moore,02/14/1960,8.9E+09,F,07890123,patricia.m,258 Ash Cv,B23 8HH,Thomas M,07210987,1/1/2015,S003
P009,Christopher,Taylor,07/25/1985,9.01E+09,M,07901234,christopher,369 Holly L,B6 9II,Amanda Ta,07109876,1/1/2015,S002
P010,Elizabeth,Anderson,01/09/1992,01234567,F,07012345,elizabeth.a,741 Poplar,B14 0JJ,Richard An,07098765,1/8/2021,S001
