staff_id,first_name,last_name,role,department,facility_id,phone_number,email,employment_type,start_date,line_manager,access_level
ST001,Michelle,Adams,Practice Manager,Administration,S001,07111222333,m.adams@birminghamgp.nhs.uk,Full-time,3/1/2019,Dr. David Thompson,Manager
ST002,James,Wilson,Receptionist,Front Desk,S001,07111222334,j.wilson@birminghamgp.nhs.uk,Part-time,1/15/2020,Michelle Adams,Basic
ST003,Carol,Smith,Medical Secretary,Administration,S001,07111222335,c.smith@birminghamgp.nhs.uk,Full-time,2/3/2018,Michelle Adams,Standard
ST004,Peter,Johnson,Healthcare Assistant,Clinical Support,S001,07111222336,p.johnson@birminghamgp.nhs.uk,Full-time,5/20/2021,Sister Mary Kelly,Standard
ST005,Sandra,Brown,Practice Manager,Administration,S002,07111222337,s.brown@solihullgp.nhs.uk,Full-time,1/10/2017,Dr. Mark Davis,Manager
ST006,Kevin,Davis,Receptionist,Front Desk,S002,07111222338,k.davis@solihullgp.nhs.uk,Full-time,9/3/2019,Sandra Brown,Basic
ST007,Lisa,Miller,Medical Secretary,Administration,S002,07111222339,l.miller@solihullgp.nhs.uk,Part-time,7/15/2020,Sandra Brown,Standard
ST008,Margaret,Taylor,Practice Manager,Administration,S003,07111222340,m.taylor@suttongp.nhs.uk,Full-time,4/5/2017,Dr. Susan Clarke,Manager
ST009,Robert,Anderson,Receptionist,Front Desk,S003,07111222341,r.anderson@suttongp.nhs.uk,Full-time,4/7/2021,Margaret Taylor,Basic
ST010,Helen,White,Healthcare Assistant,Clinical Support,S003,07111222342,h.white@suttongp.nhs.uk,Full-time,6/12/2019,Sister Mary Kelly,Standard
ST011,David,Thompson,Hospital Administrator,Administration,H001,07111222343,d.thompson@heartlands.nhs.uk,Full-time,2/1/2016,Sarah Mitchell,Manager
ST012,Julie,Roberts,Ward Clerk,Administration,H001,07111222344,j.roberts@heartlands.nhs.uk,Full-time,3/15/2018,David Thompson,Standard
ST013,Mark,Evans,Porter,Support Services,H001,07111222345,m.evans@heartlands.nhs.uk,Full-time,7/20/2019,David Thompson,Basic
ST014,Susan,Clarke,Appointments Administrator,Administration,H002,07111222346,s.clarke@queenshospital.nhs.uk,Full-time,1/8/2020,Michael Brown,Standard
ST015,Andrew,Phillips,Medical Records Administrator,Administration,H002,07111222347,a.phillips@queenshospital.nhs.uk,Part-time,2/8/2021,Susan Clarke,Standard
ST016,Patricia,Green,Children's Ward Administrator,Administration,H003,07111222348,p.green@birminghamhospital.nhs.uk,Full-time,5/10/2019,Emma Thompson,Manager
